x,v,a,E,f
0.0,0.0,0.0,1.125,0.0
0.0,0.0,0.0,1.125,0.0
2.454051762136995e-244,4.286862196948588e-228,7.488508506285121e-212,1.125,9.163674871904807e-227
3.477138200225928e-180,3.219111276493873e-167,3.220959346308301e-154,1.125,6.963631640952661e-166
1.0689894930203082e-119,5.217145556303009e-107,5.217152364613597e-94,1.125,1.1366634769945272e-105
3.204631069187321e-89,1.5784896922733297e-85,1.418259989768638e-72,1.125,3.5430352898593564e-84
3.559680677559268e-63,2.542735852509974e-59,2.3647549048462285e-46,1.125,5.638757408842654e-58
1.1823663104874098e-59,4.314371242876933e-56,3.7233709309953536e-43,1.125,1.002070387558364e-54
3.9791244779785156e-57,1.9836504074368192e-54,9.70253347504024e-52,1.125,7.026144988861491e-53
4.66855992498041e-55,1.0546033037338619e-51,8.231659440281632e-39,1.125,2.7102426760388897e-50
2.828078907764869e-53,5.53175218239977e-50,4.1412046096774646e-37,1.125,1.4982077200431965e-48
1.0708657555186596e-51,5.2129248322050504e-49,2.3298748069825348e-46,1.125,2.3465496619144294e-47
2.8340564479186864e-50,4.456951990171392e-47,3.093363768486216e-34,1.125,1.3234066440709313e-45
5.636495667144655e-49,8.113790912659819e-46,5.437252997579291e-33,1.125,2.534734049149429e-44
8.861076782931506e-48,1.1781236219013697e-44,7.632797388236886e-32,1.125,3.847660352194539e-43
1.142686860679285e-46,5.270380464249846e-44,2.0461284211742363e-41,1.125,2.8644293176913428e-42
1.2433038892495538e-45,1.4380550325364213e-42,8.735082650452481e-30,1.125,5.061679834304849e-41
1.1669128133880914e-44,1.268287820814837e-41,7.469716676615822e-29,1.125,4.681467167270639e-40
9.616544377626109e-44,4.2248157821190193e-41,1.478263980652095e-38,1.125,2.5428094453448107e-39
7.060379343617313e-43,6.8520896572211154e-40,3.802600237825232e-27,1.125,2.700215401795896e-38
4.674248963018011e-42,4.3063468742744636e-39,2.3221638243334036e-26,1.125,1.7746685118071641e-37
2.818982126189614e-41,1.1757786149439093e-38,3.725719637582325e-36,1.125,7.701550048926097e-37
1.562209046948191e-40,1.3066669432696352e-37,6.664892724407e-25,1.125,5.705275231643228e-36
8.014892345314882e-40,6.408026545481741e-37,3.1815786653558205e-24,1.125,2.9173893281095656e-35
3.8316506596464094e-39,2.9337050352878365e-36,1.4185769573237204e-23,1.125,1.38029163241221e-34
1.7165995660666257e-38,6.667172500509917e-36,1.8667337326110387e-33,1.125,4.808141950179825e-34
7.242990768517346e-38,5.110812886572629e-35,2.3477018015742596e-22,1.125,2.5238757218038967e-33
2.891051800441877e-37,1.962670880002346e-34,8.79265160087752e-22,1.125,1.0066572267611695e-32
1.0959621108805428e-36,4.034284654181772e-34,1.0358068870897122e-31,1.125,3.0972894703312803e-32
3.959766327006725e-36,2.4977952228918645e-33,1.0659314878911128e-20,1.125,1.34085059703959e-31
1.367903256225819e-35,4.859633117625728e-33,1.1809189473669307e-30,1.125,3.868210551318488e-31
4.531019634718605e-35,1.5815581892463918e-32,5.47797438741909e-30,1.125,1.2684702275251396e-30
1.4428356877856431e-34,8.219182659583775e-32,3.2704048412212513e-19,1.125,4.750866996661475e-30
4.4273210470413274e-34,1.4922426796278408e-31,3.3516220683473134e-29,1.125,1.2527249424399441e-29
1.311899835939458e-33,7.015033314748665e-31,2.6691055387899943e-18,1.125,4.264514044859369e-29
3.761387747993186e-33,1.9510650674005454e-30,7.26296860771002e-18,1.125,1.2243814362625839e-28
1.0453565212946326e-32,3.34608873247659e-30,6.975118325380266e-28,1.125,2.964985598742697e-28
2.8207681833395855e-32,1.379909957446033e-29,4.92187692581114e-17,1.125,8.98814012208438e-28
7.401470500137765e-32,2.2903511583990874e-29,4.5522060047652676e-27,1.125,2.0893199877718776e-27
1.8911517573362834e-31,8.748714847400299e-29,2.9935913566250857e-16,1.125,5.943308516070828e-27
4.711473462102182e-31,2.1214950394753026e-28,7.113104368770927e-16,1.125,1.482405570516383e-26
1.1458610465460641e-30,3.3735685016792266e-28,6.260367311019613e-26,1.125,3.228172877909282e-26
2.7235624137162025e-30,1.1638376056387068e-27,3.749744018904284e-15,1.125,8.409264725658198e-26
6.333213812256675e-30,1.8048256992702472e-27,3.2049404681577213e-25,1.125,1.7727395270962995e-25
1.442157440479531e-29,5.8604829151244045e-27,1.816241975659584e-14,1.125,4.396870597928012e-25
3.2188065246690687e-29,8.88324542094768e-27,1.5113812529116367e-24,1.125,8.967139214137485e-25
7.04752826917431e-29,2.7285284761074145e-26,8.141404202100311e-14,1.125,2.123977612663911e-24
1.5148892640812814e-28,5.728428957052969e-26,1.6776907541777508e-13,1.125,4.569105249407433e-24
3.199245784938837e-28,1.1820555589459898e-25,3.39865950603463e-13,1.125,9.619436022815956e-24
6.642590185563777e-28,2.3989966796507494e-25,6.773018646481981e-13,1.125,1.9881762407504776e-23
1.3568517681887541e-27,3.4629637481618787e-25,5.319835342555642e-23,1.125,3.7477973515163106e-23
2.7283324026660392e-27,6.85740317238642e-25,1.697219712112269e-22,1.125,7.449130122218103e-23
5.403573547817361e-27,1.826326965567938e-24,4.887579024529847e-12,1.125,1.5733610340135967e-22
1.0546734750200736e-26,2.571580601191685e-24,3.726268178118732e-22,1.125,2.8727183610527846e-22
2.0296853710026667e-26,6.573681008037898e-24,1.6985648140970258e-11,1.125,5.856450720387774e-22
3.8531948680526954e-26,1.2221518936621669e-23,3.103867815146149e-11,1.125,1.1120982680844658e-21
7.2192266389388e-26,1.6830158854430507e-23,2.3043199589044167e-21,1.125,1.9544276178718894e-21
1.3354344529043148e-25,4.0653987146899136e-23,9.978064534977958e-11,1.125,3.799440608220988e-21
2.440006363026538e-25,5.52285955061111e-23,7.287304179605977e-21,1.125,6.5496420124634766e-21
4.405145649090364e-25,1.2882939088031987e-22,3.057564889880893e-10,1.125,1.2395190503613984e-20
7.861142927693837e-25,2.2540361757619006e-22,5.260199729788182e-10,1.125,2.21078894780322e-20
1.3871187126724397e-24,3.9002151313616028e-22,8.951631429029946e-10,1.125,3.889388098627614e-20
2.4209297473995227e-24,5.169055173635411e-22,6.344200211369035e-20,1.125,6.428251604642297e-20
4.180435781448094e-24,8.79753017024285e-22,1.8142374983037176e-19,1.125,1.0990148294690062e-19
7.144212831909423e-24,1.4818885252306629e-21,3.010677541031887e-19,1.125,1.865571048997696e-19
1.208637527016155e-23,2.4710812191260617e-21,4.94596346947699e-19,1.125,3.1398020697214404e-19
2.02467375328236e-23,5.1736774769202874e-21,1.0934598356420889e-08,1.125,5.477182387527681e-19
3.359177704548696e-23,6.672519756331674e-21,7.494211397056925e-19,1.125,8.707079684593963e-19
5.521091092713899e-23,1.0809566940826004e-20,2.0685235922471635e-18,1.125,1.4210723163645464e-18
8.991236597587065e-23,1.7350727524365815e-20,3.2705802917699027e-18,1.125,2.301514387346274e-18
1.451104412442862e-22,3.4406511230212565e-20,6.80724630626361e-08,1.125,3.8466351328801265e-18
2.321337759515587e-22,5.402344635391166e-20,1.0511428030198982e-07,1.125,6.153212186965759e-18
3.681354673646197e-22,8.409047744043706e-20,1.6093561240414936e-07,1.125,9.733155704973033e-18
5.788542401771454e-22,1.2977212410434412e-19,2.4411922599094187e-07,1.125,1.5244433137849366e-17
9.025655392274874e-22,1.618556495251709e-19,1.6041762710413373e-17,1.125,2.28500372280972e-17
1.3956768115302745e-21,3.013114592941692e-19,5.475399494077171e-07,1.125,3.621334372112e-17
2.1405664622496755e-21,4.533909001620621e-19,8.094337215326101e-07,1.125,5.5366865925439837e-17
3.2564438681756447e-21,5.579387029629841e-19,5.227390140046096e-17,1.125,8.125157350550597e-17
4.914218437904077e-21,8.288872848642153e-19,1.354742909506155e-16,1.125,1.215251245153539e-16
7.35660331687196e-21,1.2211924394839405e-18,1.9615257730986243e-16,1.125,1.8061796612387572e-16
1.0924927812559258e-20,2.1382224193811404e-18,3.540483500822017e-06,1.125,2.743359543633504e-16
1.6094358618732593e-20,3.0852668482588478e-18,5.005347326272378e-06,1.125,4.0315306676262617e-16
2.3519373038867433e-20,4.41342203246625e-18,7.008914200680951e-06,1.125,5.866244695549888e-16
3.4091292087213173e-20,5.285959524172866e-18,4.3626874585330755e-16,1.125,8.242913328130512e-16
4.900934626875092e-20,8.792238666698853e-18,1.3331670623068652e-05,1.125,1.203293700288703e-15
6.986586720762824e-20,1.223707064843062e-17,1.808749785956037e-05,1.125,1.7063570198145375e-15
9.874439588097732e-20,1.4439264336674527e-17,1.1010968441219525e-15,1.125,2.3426531418755367e-15
1.383265770948893e-19,2.2999534058991225e-17,3.209227037367315e-05,1.125,3.319414359320775e-15
1.9199766106328326e-19,2.6835541984196953e-17,1.918003962602862e-15,1.125,4.48351938614423e-15
2.639301457476781e-19,4.132955811860258e-17,5.363136704589835e-05,1.125,6.216761698956929e-15
3.591126023779945e-19,5.433348439189084e-17,6.742030964491385e-05,1.125,8.38817751198414e-15
4.832886415557831e-19,6.208801958889425e-17,3.877267598501702e-15,1.125,1.0991783410444674e-14
6.426870046815424e-19,8.954697470163042e-17,9.847464338011151e-05,1.125,1.4639651517732247e-14
8.434596171274352e-19,1.0038630622294635e-16,5.4196657606579604e-15,1.125,1.8712392243440773e-14
1.0907180157268015e-18,1.3575426902204288e-16,0.00012124664887303154,1.125,2.406824017871743e-14
1.3861790187123712e-18,1.593191610032277e-16,0.00011588272585193236,1.125,2.999755112457952e-14
1.7266245886631976e-18,1.7022278497541305e-16,5.4518119860926774e-15,1.125,3.624199581725475e-14
2.0964533695255933e-18,1.8491439043119766e-16,7.345802727892298e-15,1.125,4.270345075675612e-14
2.4573090809853532e-18,1.8042785572987984e-16,-2.243267350658907e-15,1.125,4.797869366039982e-14
2.7374102501733134e-18,1.019719170612017e-16,3.894354588105285e-07,1.125,4.915385535938711e-14
2.8127554462659247e-18,-4.3278052680711415e-17,-0.0008094794792513397,1.125,4.335650126551574e-14
2.4796103821628513e-18,-1.6657253205153657e-16,-6.164723968541252e-14,1.1249999999999998,2.800036936540532e-14
1.3064223691653368e-18,-8.306389764046484e-16,-0.011438800353902295,1.1249999999999998,-1.8293631107905405e-14
-8.815578529467094e-19,-1.172368249549913e-15,-1.8310611116518653e-13,1.1249999999999998,-8.185783693157599e-14
-5.165911053897494e-18,-2.1421766004754203e-15,-4.8490417546276e-13,1.1249999999999996,-2.0374457381733076e-13
